country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
IND,India,2017,EG.ELC.LOSS.ZS,td_losses_pct,17.1759941089838,WorldBank_API_real_supplementary,2026-04-29
IND,India,2016,EG.ELC.LOSS.ZS,td_losses_pct,17.3912982792107,WorldBank_API_real_supplementary,2026-04-29
IND,India,2015,EG.ELC.LOSS.ZS,td_losses_pct,17.7399718505501,WorldBank_API_real_supplementary,2026-04-29
IND,India,2014,EG.ELC.LOSS.ZS,td_losses_pct,17.7208361952882,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2024,EG.ELC.LOSS.ZS,td_losses_pct,4.93394555765672,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2023,EG.ELC.LOSS.ZS,td_losses_pct,4.93403467617748,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2022,EG.ELC.LOSS.ZS,td_losses_pct,4.09696967314841,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2021,EG.ELC.LOSS.ZS,td_losses_pct,4.69564206767913,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2020,EG.ELC.LOSS.ZS,td_losses_pct,4.54966981851082,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2019,EG.ELC.LOSS.ZS,td_losses_pct,4.2458275921502,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2018,EG.ELC.LOSS.ZS,td_losses_pct,4.21894259294843,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2017,EG.ELC.LOSS.ZS,td_losses_pct,3.76099254223737,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2016,EG.ELC.LOSS.ZS,td_losses_pct,4.25930578919986,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2015,EG.ELC.LOSS.ZS,td_losses_pct,3.83387366145987,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2014,EG.ELC.LOSS.ZS,td_losses_pct,4.02749185607205,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2024,EG.ELC.LOSS.ZS,td_losses_pct,3.28740147756891,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2023,EG.ELC.LOSS.ZS,td_losses_pct,3.24438949704021,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2022,EG.ELC.LOSS.ZS,td_losses_pct,3.20366022862026,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2021,EG.ELC.LOSS.ZS,td_losses_pct,3.10047327549742,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2020,EG.ELC.LOSS.ZS,td_losses_pct,3.13159989431755,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2019,EG.ELC.LOSS.ZS,td_losses_pct,3.24523931931959,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2018,EG.ELC.LOSS.ZS,td_losses_pct,3.06128633625494,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2017,EG.ELC.LOSS.ZS,td_losses_pct,3.27293186065915,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2016,EG.ELC.LOSS.ZS,td_losses_pct,3.28786139512534,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2015,EG.ELC.LOSS.ZS,td_losses_pct,3.26880211193088,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2014,EG.ELC.LOSS.ZS,td_losses_pct,3.38601706537774,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2023,EG.ELC.LOSS.ZS,td_losses_pct,6.89739152062844,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2022,EG.ELC.LOSS.ZS,td_losses_pct,6.89713175963259,WorldBank_API_real_supplementary,2026-04-29
MYS,Malaysia,2021,EG.ELC.LOSS.ZS,td_losses_pct,6.89716479523521,WorldBank_API_real_supplementary,2026-04-29
